Simbolo|Frecuencia|Orden de apariciÃ³n
a|394.0|19;22;74;81;129;137;144;147;155;171;184;201;204;213;223;243;245;254;264;271;287;328;348;376;378;394;398;406;413;423;437;441;455;468;501;511;539;548;578;585;607;637;641;646;652;656;660;671;693;696;700;750;769;779;798;818;825;837;843;846;859;867;883;886;919;947;954;956;974;1027;1033;1041;1044;1049;1067;1077;1083;1086;1090;1107;1117;1125;1132;1138;1142;1148;1150;1158;1172;1185;1188;1190;1192;1198;1204;1214;1228;1234;1237;1239;1247;1267;1269;1274;1277;1282;1291;1293;1336;1361;1372;1374;1381;1404;1409;1413;1415;1417;1445;1448;1450;1472;1479;1495;1506;1516;1523;1537;1540;1542;1563;1570;1573;1576;1580;1585;1597;1599;1609;1614;1618;1626;1632;1634;1640;1648;1672;1679;1693;1699;1707;1717;1736;1742;1748;1751;1753;1757;1769;1775;1780;1782;1793;1824;1830;1836;1839;1841;1847;1849;1858;1864;1869;1871;1878;1889;1927;1933;1939;1942;1944;1952;1959;1966;1972;1980;1982;1990;1996;2009;2011;2020;2024;2030;2037;2039;2042;2053;2063;2074;2083;2124;2167;2170;2172;2179;2182;2184;2187;2190;2201;2207;2211;2219;2225;2227;2233;2241;2266;2272;2278;2290;2296;2300;2309;2346;2352;2358;2360;2369;2375;2379;2389;2396;2440;2446;2454;2473;2482;2488;2492;2516;2532;2543;2547;2549;2555;2558;2584;2590;2594;2604;2612;2620;2623;2630;2647;2649;2655;2659;2667;2673;2675;2681;2689;2713;2716;2718;2722;2736;2738;2743;2746;2753;2793;2796;2798;2804;2806;2817;2819;2824;2827;2833;2836;2841;2884;2887;2889;2897;2901;2904;2906;2914;2916;2924;2927;2934;2942;2945;2951;2954;2976;2985;3021;3034;3072;3082;3103;3124;3126;3138;3145;3157;3159;3167;3169;3179;3185;3197;3200;3202;3236;3255;3257;3264;3278;3282;3295;3299;3312;3318;3332;3349;3351;3360;3366;3374;3390;3392;3428;3434;3455;3464;3484;3510;3515;3519;3529;3536;3539;3543;3551;3564;3578;3585;3598;3600;3605;3611;3617;3621;3635;3642;3653;3655;3658;3678;3710;3712;3717;3734;3746;3748;3760;3814;3816;3819;3828;3831;3833;3849;3853;3858;3863;3866;3872;3886;3888;3891;3902;3908;3911;3913
á|18.0|94;235;566;729;781;997;1109;1134;1200;1217;2496;3105;3266;3362;3553;3607;3691;3893
b|33.0|169;202;273;586;1268;1373;1382;1510;1574;1732;1781;1820;1870;1923;1981;2010;2038;2188;2579;2621;2706;2737;2786;2818;2915;3158;3162;3245;3339;3502;3540;3660;3857
c|55.0|18;97;107;116;239;300;431;462;569;599;608;613;661;774;821;836;844;1000;1224;1320;1421;1468;1490;1567;1653;1713;1893;2018;2049;2145;2387;2400;2422;2432;2531;2554;2564;2589;2845;2863;2872;2962;2983;2990;3041;3152;3399;3514;3544;3581;3615;3638;3740;3787;3848
d|60.0|54;89;105;246;389;414;538;594;648;673;743;819;838;856;882;887;921;938;948;1082;1127;1156;1278;1322;1416;1620;1630;1759;1845;2073;2213;2223;2280;2356;2534;2661;2671;2724;2747;2802;2828;2835;2928;2946;2953;3011;3020;3033;3122;3186;3296;3319;3382;3391;3454;3586;3643;3700;3747;3815
e|288.0|13;31;45;52;55;108;120;133;194;208;211;220;225;251;258;266;285;292;301;314;319;334;336;339;360;369;371;411;430;439;445;464;474;481;485;506;534;536;546;558;576;582;587;609;667;674;680;683;689;698;704;717;724;731;742;744;759;785;791;802;810;827;854;861;864;871;876;895;902;910;917;935;976;981;982;990;1012;1015;1029;1036;1052;1061;1103;1128;1145;1155;1175;1178;1221;1232;1245;1255;1272;1285;1288;1298;1308;1319;1324;1333;1338;1353;1357;1365;1386;1428;1438;1453;1476;1499;1503;1520;1551;1583;1593;1603;1607;1621;1629;1643;1646;1660;1669;1684;1697;1702;1705;1710;1724;1740;1745;1760;1764;1773;1801;1812;1828;1833;1844;1853;1862;1881;1884;1897;1931;1936;1947;1950;1962;1970;1999;2002;2014;2017;2028;2046;2057;2060;2081;2102;2110;2115;2122;2131;2152;2162;2194;2214;2222;2236;2239;2248;2254;2257;2281;2285;2317;2328;2334;2337;2355;2364;2404;2415;2423;2428;2449;2452;2459;2462;2477;2504;2524;2552;2571;2592;2608;2643;2662;2670;2684;2687;2696;2702;2725;2729;2741;2763;2773;2782;2801;2810;2822;2849;2864;2869;2892;2895;2922;2940;2958;2961;2969;2972;2979;2982;2997;3006;3010;3023;3026;3046;3058;3067;3070;3078;3084;3099;3121;3128;3131;3135;3142;3148;3164;3175;3193;3209;3218;3221;3253;3290;3305;3309;3315;3347;3381;3400;3423;3426;3440;3444;3462;3492;3504;3517;3571;3575;3628;3632;3685;3698;3721;3738;3750;3753;3766;3775;3778;3794;3803;3825;3851;3870;3883;3897;3900;3916
f|8.0|333;500;834;1369;2016;2981;3017;3294
g|23.0|95;134;181;395;412;422;440;624;657;1439;1813;2329;2497;2542;3068;3172;3302;3437;3568;3625;3682;3871;3898
new line|32.0|112;231;353;471;591;711;831;952;1074;1196;1317;1435;1549;1667;1789;1911;2033;2155;2275;2394;2514;2636;2758;2879;3000;3117;3239;3358;3479;3596;3716;3838
h|3.0|614;2388;2963
i|155.0|7;96;117;141;157;218;274;317;332;364;368;375;396;400;473;504;513;527;568;593;601;617;623;634;644;658;662;788;820;822;845;857;937;946;963;999;1046;1048;1064;1080;1088;1157;1166;1207;1210;1223;1225;1276;1284;1321;1323;1356;1371;1394;1407;1420;1422;1512;1545;1554;1568;1631;1652;1654;1686;1712;1714;1722;1846;1880;1915;1985;1993;1998;2048;2050;2068;2077;2087;2096;2144;2146;2198;2224;2246;2269;2293;2349;2357;2372;2443;2485;2498;2510;2563;2565;2580;2602;2614;2672;2694;2707;2745;2787;2803;2826;2919;2926;2937;2944;2989;2991;3032;3045;3123;3163;3174;3205;3212;3230;3233;3249;3259;3304;3326;3329;3343;3353;3383;3405;3411;3439;3449;3458;3472;3476;3481;3503;3541;3545;3560;3570;3593;3627;3650;3661;3669;3674;3684;3697;3707;3770;3786;3788;3843
é|4.0|275;2106;2777;3662
j|11.0|377;860;2082;2517;3260;3354;3389;3406;3561;3675;3859
l|92.0|132;176;180;203;224;255;265;325;344;410;418;456;505;565;625;737;770;826;849;868;918;996;1047;1096;1222;1242;1283;1346;1378;1412;1437;1483;1711;1879;1913;1997;2047;2119;2171;2183;2199;2200;2270;2271;2294;2295;2307;2350;2351;2373;2374;2444;2445;2471;2472;2486;2487;2499;2591;2599;2605;2609;2615;2616;2832;2950;3037;3079;3092;3171;3234;3235;3301;3330;3331;3436;3482;3483;3516;3523;3567;3616;3624;3681;3731;3745;3756;3759;3820;3850;3869;3876
m|64.0|114;125;142;153;168;212;241;272;316;393;523;547;618;655;725;877;973;1045;1133;1149;1199;1261;1273;1297;1414;1553;1723;1890;1916;2067;2114;2247;2397;2508;2648;2695;2717;2742;2797;2823;2842;2888;2905;2923;2941;3022;3031;3047;3120;3127;3211;3361;3448;3470;3599;3606;3618;3654;3659;3696;3711;3749;3832;3892
í|15.0|136;146;356;519;615;972;1066;1575;1671;1706;1792;1989;2189;2622;2975
n|199.0|17;20;23;32;53;57;75;82;88;109;119;159;183;195;205;217;236;276;283;288;299;320;337;384;388;397;461;465;475;486;499;502;537;559;632;635;638;647;659;664;672;692;697;722;730;745;755;773;776;790;811;824;833;855;911;920;929;933;936;971;986;991;1005;1032;1040;1068;1071;1076;1081;1093;1126;1159;1184;1191;1233;1250;1286;1327;1358;1368;1389;1395;1403;1489;1492;1528;1534;1546;1560;1569;1579;1589;1608;1613;1619;1625;1633;1639;1670;1675;1680;1698;1741;1758;1774;1829;1848;1863;1882;1932;1971;2000;2029;2043;2078;2090;2127;2176;2206;2212;2218;2226;2232;2258;2263;2279;2338;2343;2359;2386;2418;2421;2431;2434;2463;2468;2533;2538;2556;2603;2626;2639;2654;2660;2666;2674;2680;2723;2805;2834;2859;2862;2881;2952;2973;3019;3024;3075;3119;3129;3151;3154;3176;3182;3206;3222;3227;3254;3274;3277;3283;3293;3306;3316;3323;3348;3370;3373;3387;3395;3398;3417;3441;3463;3507;3526;3533;3547;3572;3590;3629;3647;3663;3686;3699;3704;3742;3751;3761
o|255.0|3;9;26;34;39;48;58;65;69;78;90;98;104;115;118;124;126;152;163;167;175;177;189;197;240;247;256;262;279;294;298;304;310;326;390;401;415;427;433;449;452;477;488;492;495;522;524;529;545;553;561;570;595;603;619;626;631;649;685;707;715;721;727;732;736;738;748;763;766;775;789;795;805;813;823;835;839;869;878;888;891;898;905;913;922;925;932;939;944;949;959;965;993;1001;1004;1017;1021;1056;1099;1113;1152;1160;1168;1180;1226;1251;1257;1260;1262;1279;1296;1303;1313;1326;1339;1342;1349;1383;1390;1398;1424;1432;1456;1461;1467;1486;1491;1556;1566;1588;1656;1664;1688;1715;1726;1731;1766;1798;1814;1819;1855;1892;1894;1907;1917;1922;1975;2051;2066;2072;2093;2098;2113;2128;2134;2139;2148;2158;2250;2287;2314;2330;2366;2399;2401;2420;2433;2479;2507;2518;2526;2535;2567;2575;2617;2633;2638;2698;2731;2748;2760;2812;2829;2844;2846;2861;2873;2909;2929;2947;2964;2993;3003;3016;3029;3040;3042;3049;3053;3063;3074;3085;3088;3095;3109;3112;3153;3187;3214;3244;3261;3270;3273;3286;3297;3320;3338;3355;3369;3377;3384;3388;3397;3407;3413;3416;3431;3447;3453;3469;3487;3497;3506;3557;3562;3582;3587;3639;3644;3671;3676;3701;3726;3732;3741;3744;3763;3772;3790;3798;3840;3860;3879;3919;3924
p|27.0|50;77;143;154;242;302;324;726;852;884;942;945;1108;1501;1683;1891;2104;2398;2509;2775;2843;3048;3104;3265;3471;3552;3777
ñ|18.0|8;244;286;684;749;964;1016;1151;1179;1189;1408;1647;1951;2240;2453;2688;2896;3427
q|15.0|681;1013;1101;1176;1351;1644;1948;2094;2237;2450;2685;2893;3097;3424;3881
r|155.0|49;51;56;73;79;103;135;164;170;172;221;257;263;315;327;329;335;347;370;379;399;424;428;429;448;453;467;493;510;579;588;600;670;699;716;728;751;762;767;778;780;786;796;817;853;870;926;943;955;983;1026;1116;1124;1141;1171;1208;1238;1256;1292;1299;1307;1325;1330;1343;1360;1370;1431;1477;1494;1496;1511;1521;1530;1552;1592;1617;1663;1678;1721;1725;1730;1756;1765;1791;1818;1854;1908;1921;1988;2015;2084;2116;2157;2193;2210;2245;2249;2277;2286;2299;2365;2378;2436;2478;2491;2495;2544;2548;2559;2574;2593;2631;2642;2658;2693;2697;2721;2730;2752;2811;2933;2980;3002;3015;3030;3057;3069;3073;3089;3143;3156;3165;3184;3196;3210;3243;3281;3337;3491;3505;3518;3528;3530;3695;3733;3735;3779;3797;3841;3842;3852;3873;3887;3899;3903
s|207.0|4;10;14;27;35;42;59;63;66;70;76;91;99;121;156;185;190;198;214;222;226;233;248;259;267;280;284;295;305;311;340;349;355;372;407;446;478;489;496;507;514;518;530;540;549;554;562;567;571;577;598;604;616;620;627;675;686;708;718;733;760;782;787;792;799;806;814;828;840;872;879;892;899;906;914;960;966;998;1009;1018;1028;1055;1057;1087;1100;1112;1137;1165;1203;1218;1227;1246;1265;1275;1304;1309;1312;1314;1337;1350;1362;1391;1399;1425;1449;1457;1460;1462;1500;1504;1541;1555;1584;1594;1600;1657;1716;1778;1805;1867;1901;1957;1978;2007;2035;2052;2103;2107;2123;2135;2138;2140;2149;2195;2202;2321;2408;2424;2525;2530;2553;2557;2568;2585;2588;2595;2613;2644;2650;2734;2744;2767;2774;2778;2815;2825;2853;2865;2874;2912;2925;2943;2994;3054;3059;3062;3064;3071;3083;3096;3108;3194;3201;3213;3269;3365;3401;3410;3488;3493;3496;3498;3513;3556;3583;3610;3640;3668;3689;3725;3739;3743;3769;3776;3791;3810;3812;3847;3854;3864;3880;3894;3901;3912;3920;3923;3925
ó|38.0|158;663;1211;1440;1469;1513;1531;1733;1807;1821;1903;1924;2069;2260;2323;2340;2410;2437;2465;2511;2581;2708;2769;2788;2855;2876;3012;3114;3224;3246;3340;3450;3473;3546;3619;3781;3822;3844
t|114.0|21;33;64;80;145;196;234;303;318;338;345;432;447;454;466;476;487;494;503;512;528;560;602;633;643;714;723;761;768;777;797;812;885;897;912;934;975;992;1089;1167;1266;1287;1359;1397;1423;1478;1493;1505;1522;1529;1655;1685;1687;1779;1806;1868;1883;1902;1914;1958;1979;2001;2008;2019;2036;2097;2147;2259;2308;2322;2339;2409;2419;2435;2464;2566;2632;2735;2768;2816;2854;2860;2875;2913;2974;2984;2992;3025;3113;3125;3130;3144;3155;3166;3183;3195;3223;3317;3396;3412;3527;3542;3584;3641;3670;3690;3752;3762;3771;3780;3789;3813;3821;3865
u|94.0|30;87;106;182;193;291;343;346;359;367;387;421;444;463;484;557;612;642;682;703;713;741;758;809;909;989;1008;1014;1060;1102;1120;1177;1249;1352;1396;1475;1502;1519;1645;1785;1804;1811;1874;1900;1949;2056;2095;2105;2126;2161;2238;2303;2320;2327;2382;2407;2414;2427;2451;2521;2529;2541;2578;2629;2686;2705;2751;2766;2776;2785;2852;2894;2932;3009;3018;3098;3134;3141;3173;3192;3303;3420;3425;3438;3501;3569;3626;3683;3694;3724;3802;3806;3811;3882
v|19.0|219;293;438;645;1065;1209;1231;1606;1696;1739;1772;1827;1861;1930;1969;2027;3252;3346;3461
x|3.0|323;896;3614
y|10.0|535;1022;1121;1248;1786;1875;2125;2304;2383;3807
ú|1.0|636
z|10.0|858;1037;1598;1752;1840;1943;1963;3287;3378;3432
return|32.0|111;230;352;470;590;710;830;951;1073;1195;1316;1434;1548;1666;1788;1910;2032;2154;2274;2393;2513;2635;2757;2878;2999;3116;3238;3357;3478;3595;3715;3837

